video_id,author_username,posted_at,scraped_at,views,likes,shares,comments,collects,t_since_post,is_synthetic,hour_of_day,day_of_week,target_horizon,target_views,target_likes,target_shares,target_comments
7585891446033566997,atusmain,2025-12-20 17:53:15.000000000,2025-12-20 18:53:15.000000000,-0.38171101817020153,-0.38250895364646076,-0.3310565761345746,-0.37924843808947967,204,1,,0.5128906456252281,0.9626550828803929,0.4960595801451045,261600,33100,1153,328
7585891446033566997,atusmain,2025-12-20 17:53:15.000000000,2025-12-20 19:53:15.000000000,-0.3805188613986661,-0.3797119062731282,-0.33067087991541977,-0.37674880639371555,211,2,,0.6648045227514034,0.9626550828803929,0.4960595801451045,261600,33100,1153,328
7585891446033566997,atusmain,2025-12-20 17:53:15.000000000,2025-12-20 20:53:15.000000000,-0.3701361833750188,-0.3552811987071834,-0.3277781582717586,-0.3580015686754847,273,3,,0.8167183998775787,0.9626550828803929,0.4960595801451045,261600,33100,1153,328
7585891446033566997,atusmain,2025-12-20 17:53:15.000000000,2025-12-20 18:53:15.000000000,-0.38171101817020153,-0.38250895364646076,-0.3310565761345746,-0.37924843808947967,204,1,,0.5128906456252281,0.9626550828803929,0.9994895545688508,269800,33700,1196,331
7585891446033566997,atusmain,2025-12-20 17:53:15.000000000,2025-12-20 19:53:15.000000000,-0.3805188613986661,-0.3797119062731282,-0.33067087991541977,-0.37674880639371555,211,2,,0.6648045227514034,0.9626550828803929,0.9994895545688508,269800,33700,1196,331
7585891446033566997,atusmain,2025-12-20 17:53:15.000000000,2025-12-20 20:53:15.000000000,-0.3701361833750188,-0.3552811987071834,-0.3277781582717586,-0.3580015686754847,273,3,,0.8167183998775787,0.9626550828803929,0.9994895545688508,269800,33700,1196,331
7585891446033566997_synthetic_1,atusmain,2025-12-20 17:53:15.000000000,2025-12-20 18:53:15.000000000,-0.4771985778350815,1.6833080631538409,-0.23308973646924877,-0.5654709994239061,204,1,1.0,0.5128906456252281,0.9626550828803929,0.4960595801451045,267003,32424,1179,327
7585891446033566997_synthetic_1,atusmain,2025-12-20 17:53:15.000000000,2025-12-20 19:53:15.000000000,-0.4771985778350815,1.6650561438532805,-0.23386112890755842,-0.5654709994239061,211,2,1.0,0.6648045227514034,0.9626550828803929,0.4960595801451045,267003,32424,1179,327
7585891446033566997_synthetic_1,atusmain,2025-12-20 17:53:15.000000000,2025-12-20 20:53:15.000000000,-0.4771985778350815,1.5062723472021722,-0.23983942030445823,-0.5654709994239061,273,3,1.0,0.8167183998775787,0.9626550828803929,0.4960595801451045,267003,32424,1179,327
7585891446033566997_synthetic_1,atusmain,2025-12-20 17:53:15.000000000,2025-12-20 18:53:15.000000000,-0.4771985778350815,1.6833080631538409,-0.23308973646924877,-0.5654709994239061,204,1,1.0,0.5128906456252281,0.9626550828803929,0.9994895545688508,273386,34246,1228,327
7585891446033566997_synthetic_1,atusmain,2025-12-20 17:53:15.000000000,2025-12-20 19:53:15.000000000,-0.4771985778350815,1.6650561438532805,-0.23386112890755842,-0.5654709994239061,211,2,1.0,0.6648045227514034,0.9626550828803929,0.9994895545688508,273386,34246,1228,327
7585891446033566997_synthetic_1,atusmain,2025-12-20 17:53:15.000000000,2025-12-20 20:53:15.000000000,-0.4771985778350815,1.5062723472021722,-0.23983942030445823,-0.5654709994239061,273,3,1.0,0.8167183998775787,0.9626550828803929,0.9994895545688508,273386,34246,1228,327
7585891446033566997_synthetic_10,atusmain,2025-12-20 17:53:15.000000000,2025-12-20 18:53:15.000000000,-0.29187696815287073,-0.6202105727971347,-0.5136837359043848,0.7180898763509661,204,1,1.0,0.5128906456252281,0.9626550828803929,0.4960595801451045,267676,32526,1155,334
7585891446033566997_synthetic_10,atusmain,2025-12-20 17:53:15.000000000,2025-12-20 19:53:15.000000000,-0.29155626119038724,-0.6202105727971347,-0.5136837359043848,0.7093411654157917,211,2,1.0,0.6648045227514034,0.9626550828803929,0.4960595801451045,267676,32526,1155,334
7585891446033566997_synthetic_10,atusmain,2025-12-20 17:53:15.000000000,2025-12-20 20:53:15.000000000,-0.2887664464355898,-0.6202105727971347,-0.5136837359043848,0.6318525828471041,273,3,1.0,0.8167183998775787,0.9626550828803929,0.4960595801451045,267676,32526,1155,334
7585891446033566997_synthetic_10,atusmain,2025-12-20 17:53:15.000000000,2025-12-20 18:53:15.000000000,-0.29187696815287073,-0.6202105727971347,-0.5136837359043848,0.7180898763509661,204,1,1.0,0.5128906456252281,0.9626550828803929,0.9994895545688508,271061,33670,1216,338
7585891446033566997_synthetic_10,atusmain,2025-12-20 17:53:15.000000000,2025-12-20 19:53:15.000000000,-0.29155626119038724,-0.6202105727971347,-0.5136837359043848,0.7093411654157917,211,2,1.0,0.6648045227514034,0.9626550828803929,0.9994895545688508,271061,33670,1216,338
7585891446033566997_synthetic_10,atusmain,2025-12-20 17:53:15.000000000,2025-12-20 20:53:15.000000000,-0.2887664464355898,-0.6202105727971347,-0.5136837359043848,0.6318525828471041,273,3,1.0,0.8167183998775787,0.9626550828803929,0.9994895545688508,271061,33670,1216,338
7585891446033566997_synthetic_17,atusmain,2025-12-20 17:53:15.000000000,2025-12-20 18:53:15.000000000,-0.4771985778350815,-0.6202105727971347,-0.5136837359043848,-0.15678121716647359,204,1,1.0,0.5128906456252281,0.9626550828803929,0.4960595801451045,254965,33872,1143,328
7585891446033566997_synthetic_17,atusmain,2025-12-20 17:53:15.000000000,2025-12-20 19:53:15.000000000,-0.4771985778350815,-0.6202105727971347,-0.5136837359043848,-0.15678121716647359,211,2,1.0,0.6648045227514034,0.9626550828803929,0.4960595801451045,254965,33872,1143,328
7585891446033566997_synthetic_17,atusmain,2025-12-20 17:53:15.000000000,2025-12-20 20:53:15.000000000,-0.4771985778350815,-0.6202105727971347,-0.5136837359043848,-0.15678121716647359,273,3,1.0,0.8167183998775787,0.9626550828803929,0.4960595801451045,254965,33872,1143,328
7585891446033566997_synthetic_17,atusmain,2025-12-20 17:53:15.000000000,2025-12-20 18:53:15.000000000,-0.4771985778350815,-0.6202105727971347,-0.5136837359043848,-0.15678121716647359,204,1,1.0,0.5128906456252281,0.9626550828803929,0.9994895545688508,266447,34006,1199,330
